mean_test_score,params,solver,activation,learning_rate,hidden_layer_sizes
0.8962715399748749,"{'activation': 'relu', 'hidden_layer_sizes': (20, 20, 155), 'learning_rate': 'constant', 'solver': 'adam'}",adam,relu,constant,"(20, 20, 155)"
0.5149707269667448,"{'activation': 'relu', 'hidden_layer_sizes': (20, 20, 155), 'learning_rate': 'invscaling', 'solver': 'sgd'}",sgd,relu,invscaling,"(20, 20, 155)"
0.8674310839318305,"{'activation': 'relu', 'hidden_layer_sizes': (20, 20, 155), 'learning_rate': 'invscaling', 'solver': 'lbfgs'}",lbfgs,relu,invscaling,"(20, 20, 155)"
0.8962715399748749,"{'activation': 'relu', 'hidden_layer_sizes': (20, 20, 155), 'learning_rate': 'invscaling', 'solver': 'adam'}",adam,relu,invscaling,"(20, 20, 155)"
0.8756832349664604,"{'activation': 'relu', 'hidden_layer_sizes': (20, 20, 155), 'learning_rate': 'adaptive', 'solver': 'sgd'}",sgd,relu,adaptive,"(20, 20, 155)"
0.8674310839318305,"{'activation': 'relu', 'hidden_layer_sizes': (20, 20, 155), 'learning_rate': 'adaptive', 'solver': 'lbfgs'}",lbfgs,relu,adaptive,"(20, 20, 155)"
0.8962715399748749,"{'activation': 'relu', 'hidden_layer_sizes': (20, 20, 155), 'learning_rate': 'adaptive', 'solver': 'adam'}",adam,relu,adaptive,"(20, 20, 155)"
0.8544075469909218,"{'activation': 'relu', 'hidden_layer_sizes': (20, 20, 200), 'learning_rate': 'constant', 'solver': 'sgd'}",sgd,relu,constant,"(20, 20, 200)"
0.8800244139467633,"{'activation': 'relu', 'hidden_layer_sizes': (20, 20, 200), 'learning_rate': 'constant', 'solver': 'lbfgs'}",lbfgs,relu,constant,"(20, 20, 200)"
0.8945910071345612,"{'activation': 'relu', 'hidden_layer_sizes': (20, 20, 200), 'learning_rate': 'constant', 'solver': 'adam'}",adam,relu,constant,"(20, 20, 200)"
0.45814785844651446,"{'activation': 'relu', 'hidden_layer_sizes': (20, 20, 200), 'learning_rate': 'invscaling', 'solver': 'sgd'}",sgd,relu,invscaling,"(20, 20, 200)"
0.8800244139467633,"{'activation': 'relu', 'hidden_layer_sizes': (20, 20, 200), 'learning_rate': 'invscaling', 'solver': 'lbfgs'}",lbfgs,relu,invscaling,"(20, 20, 200)"
0.8945910071345612,"{'activation': 'relu', 'hidden_layer_sizes': (20, 20, 200), 'learning_rate': 'invscaling', 'solver': 'adam'}",adam,relu,invscaling,"(20, 20, 200)"
0.8544075469909218,"{'activation': 'relu', 'hidden_layer_sizes': (20, 20, 200), 'learning_rate': 'adaptive', 'solver': 'sgd'}",sgd,relu,adaptive,"(20, 20, 200)"
0.8800244139467633,"{'activation': 'relu', 'hidden_layer_sizes': (20, 20, 200), 'learning_rate': 'adaptive', 'solver': 'lbfgs'}",lbfgs,relu,adaptive,"(20, 20, 200)"
0.8945910071345612,"{'activation': 'relu', 'hidden_layer_sizes': (20, 20, 200), 'learning_rate': 'adaptive', 'solver': 'adam'}",adam,relu,adaptive,"(20, 20, 200)"
0.8363578183886796,"{'activation': 'relu', 'hidden_layer_sizes': (20, 65, 20), 'learning_rate': 'constant', 'solver': 'sgd'}",sgd,relu,constant,"(20, 65, 20)"
0.8815390267605301,"{'activation': 'relu', 'hidden_layer_sizes': (20, 65, 20), 'learning_rate': 'constant', 'solver': 'lbfgs'}",lbfgs,relu,constant,"(20, 65, 20)"
0.8914408969162577,"{'activation': 'relu', 'hidden_layer_sizes': (20, 65, 20), 'learning_rate': 'constant', 'solver': 'adam'}",adam,relu,constant,"(20, 65, 20)"
0.286188342932992,"{'activation': 'relu', 'hidden_layer_sizes': (20, 65, 20), 'learning_rate': 'invscaling', 'solver': 'sgd'}",sgd,relu,invscaling,"(20, 65, 20)"
0.8815390267605301,"{'activation': 'relu', 'hidden_layer_sizes': (20, 65, 20), 'learning_rate': 'invscaling', 'solver': 'lbfgs'}",lbfgs,relu,invscaling,"(20, 65, 20)"
0.8914408969162577,"{'activation': 'relu', 'hidden_layer_sizes': (20, 65, 20), 'learning_rate': 'invscaling', 'solver': 'adam'}",adam,relu,invscaling,"(20, 65, 20)"
0.8363578183886796,"{'activation': 'relu', 'hidden_layer_sizes': (20, 65, 20), 'learning_rate': 'adaptive', 'solver': 'sgd'}",sgd,relu,adaptive,"(20, 65, 20)"
0.8815390267605301,"{'activation': 'relu', 'hidden_layer_sizes': (20, 65, 20), 'learning_rate': 'adaptive', 'solver': 'lbfgs'}",lbfgs,relu,adaptive,"(20, 65, 20)"
0.8914408969162577,"{'activation': 'relu', 'hidden_layer_sizes': (20, 65, 20), 'learning_rate': 'adaptive', 'solver': 'adam'}",adam,relu,adaptive,"(20, 65, 20)"
0.864817843513712,"{'activation': 'relu', 'hidden_layer_sizes': (20, 65, 65), 'learning_rate': 'constant', 'solver': 'sgd'}",sgd,relu,constant,"(20, 65, 65)"
0.8875311100049776,"{'activation': 'relu', 'hidden_layer_sizes': (20, 65, 65), 'learning_rate': 'constant', 'solver': 'lbfgs'}",lbfgs,relu,constant,"(20, 65, 65)"
0.8950223992035837,"{'activation': 'relu', 'hidden_layer_sizes': (20, 65, 65), 'learning_rate': 'constant', 'solver': 'adam'}",adam,relu,constant,"(20, 65, 65)"
0.32840076797269435,"{'activation': 'relu', 'hidden_layer_sizes': (20, 65, 65), 'learning_rate': 'invscaling', 'solver': 'sgd'}",sgd,relu,invscaling,"(20, 65, 65)"
0.8875311100049776,"{'activation': 'relu', 'hidden_layer_sizes': (20, 65, 65), 'learning_rate': 'invscaling', 'solver': 'lbfgs'}",lbfgs,relu,invscaling,"(20, 65, 65)"
0.8950223992035837,"{'activation': 'relu', 'hidden_layer_sizes': (20, 65, 65), 'learning_rate': 'invscaling', 'solver': 'adam'}",adam,relu,invscaling,"(20, 65, 65)"
0.864817843513712,"{'activation': 'relu', 'hidden_layer_sizes': (20, 65, 65), 'learning_rate': 'adaptive', 'solver': 'sgd'}",sgd,relu,adaptive,"(20, 65, 65)"
0.8875311100049776,"{'activation': 'relu', 'hidden_layer_sizes': (20, 65, 65), 'learning_rate': 'adaptive', 'solver': 'lbfgs'}",lbfgs,relu,adaptive,"(20, 65, 65)"
