Metric,Value
Accuracy,0.8596491228070176
AUC,0.9351736972704715
F1 Score,0.836734693877551
MCC,0.7185959270434252
Precision,0.8913043478260869
Recall,0.7884615384615384
Specificity,0.9193548387096774
