mean_test_score,params
0.9236507146412573,"{'colsample_bytree': 0.6, 'gamma': 0.0, 'max_depth': 3, 'min_child_weight': 1, 'n_estimators': 165, 'reg_alpha': 0.1, 'reg_lambda': 0.1, 'subsample': 0.7}"
0.9309227523762118,"{'colsample_bytree': 0.6, 'gamma': 0.0, 'max_depth': 3, 'min_child_weight': 1, 'n_estimators': 165, 'reg_alpha': 0.1, 'reg_lambda': 0.1, 'subsample': 0.8}"
0.9271137026239067,"{'colsample_bytree': 0.6, 'gamma': 0.0, 'max_depth': 3, 'min_child_weight': 1, 'n_estimators': 165, 'reg_alpha': 0.1, 'reg_lambda': 0.1, 'subsample': 0.9}"
0.9275379838346488,"{'colsample_bytree': 0.6, 'gamma': 0.0, 'max_depth': 3, 'min_child_weight': 1, 'n_estimators': 187, 'reg_alpha': 0.1, 'reg_lambda': 0.1, 'subsample': 0.6}"
0.9224845338832397,"{'colsample_bytree': 0.6, 'gamma': 0.0, 'max_depth': 3, 'min_child_weight': 1, 'n_estimators': 187, 'reg_alpha': 0.1, 'reg_lambda': 0.1, 'subsample': 0.7}"
0.9319159022494015,"{'colsample_bytree': 0.6, 'gamma': 0.0, 'max_depth': 3, 'min_child_weight': 1, 'n_estimators': 187, 'reg_alpha': 0.1, 'reg_lambda': 0.1, 'subsample': 0.8}"
0.9287776434615658,"{'colsample_bytree': 0.6, 'gamma': 0.0, 'max_depth': 3, 'min_child_weight': 1, 'n_estimators': 187, 'reg_alpha': 0.1, 'reg_lambda': 0.1, 'subsample': 0.9}"
0.9262532887719548,"{'colsample_bytree': 0.6, 'gamma': 0.0, 'max_depth': 3, 'min_child_weight': 1, 'n_estimators': 210, 'reg_alpha': 0.1, 'reg_lambda': 0.1, 'subsample': 0.6}"
0.9245253502097703,"{'colsample_bytree': 0.6, 'gamma': 0.0, 'max_depth': 3, 'min_child_weight': 1, 'n_estimators': 210, 'reg_alpha': 0.1, 'reg_lambda': 0.1, 'subsample': 0.7}"
0.9305529877456209,"{'colsample_bytree': 0.6, 'gamma': 0.0, 'max_depth': 3, 'min_child_weight': 1, 'n_estimators': 210, 'reg_alpha': 0.1, 'reg_lambda': 0.1, 'subsample': 0.8}"
0.9277963450188438,"{'colsample_bytree': 0.6, 'gamma': 0.0, 'max_depth': 3, 'min_child_weight': 1, 'n_estimators': 210, 'reg_alpha': 0.1, 'reg_lambda': 0.1, 'subsample': 0.9}"
0.9116689184384554,"{'colsample_bytree': 0.6, 'gamma': 0.0, 'max_depth': 5, 'min_child_weight': 1, 'n_estimators': 10, 'reg_alpha': 0.1, 'reg_lambda': 0.1, 'subsample': 0.6}"
0.910502737680438,"{'colsample_bytree': 0.6, 'gamma': 0.0, 'max_depth': 5, 'min_child_weight': 1, 'n_estimators': 10, 'reg_alpha': 0.1, 'reg_lambda': 0.1, 'subsample': 0.7}"
0.9138803953637205,"{'colsample_bytree': 0.6, 'gamma': 0.0, 'max_depth': 5, 'min_child_weight': 1, 'n_estimators': 10, 'reg_alpha': 0.1, 'reg_lambda': 0.1, 'subsample': 0.8}"
0.9122946739671477,"{'colsample_bytree': 0.6, 'gamma': 0.0, 'max_depth': 5, 'min_child_weight': 1, 'n_estimators': 10, 'reg_alpha': 0.1, 'reg_lambda': 0.1, 'subsample': 0.9}"
0.9117210647325132,"{'colsample_bytree': 0.6, 'gamma': 0.0, 'max_depth': 5, 'min_child_weight': 1, 'n_estimators': 32, 'reg_alpha': 0.1, 'reg_lambda': 0.1, 'subsample': 0.6}"
