Metric,Value
Accuracy,0.8508771929824561
AUC,0.9359491315136477
F1 Score,0.8282828282828283
MCC,0.6998758632287876
Precision,0.8723404255319149
Recall,0.7884615384615384
Specificity,0.9032258064516129
