Metric,Value
Accuracy,0.868421052631579
AUC,0.9393610421836227
F1 Score,0.8514851485148514
MCC,0.7346055812184563
Precision,0.8775510204081632
Recall,0.8269230769230769
Specificity,0.9032258064516129
