mean_test_score,params,solver,activation,learning_rate,hidden_layer_sizes
0.851558463106497,"{'activation': 'relu', 'hidden_layer_sizes': (20, 20, 155), 'learning_rate': 'constant', 'solver': 'adam'}",adam,relu,constant,"(20, 20, 155)"
0.44983526511649946,"{'activation': 'relu', 'hidden_layer_sizes': (20, 20, 155), 'learning_rate': 'invscaling', 'solver': 'sgd'}",sgd,relu,invscaling,"(20, 20, 155)"
0.8581751167365901,"{'activation': 'relu', 'hidden_layer_sizes': (20, 20, 155), 'learning_rate': 'invscaling', 'solver': 'lbfgs'}",lbfgs,relu,invscaling,"(20, 20, 155)"
0.851558463106497,"{'activation': 'relu', 'hidden_layer_sizes': (20, 20, 155), 'learning_rate': 'invscaling', 'solver': 'adam'}",adam,relu,invscaling,"(20, 20, 155)"
0.8081822275948707,"{'activation': 'relu', 'hidden_layer_sizes': (20, 20, 155), 'learning_rate': 'adaptive', 'solver': 'sgd'}",sgd,relu,adaptive,"(20, 20, 155)"
0.8581751167365901,"{'activation': 'relu', 'hidden_layer_sizes': (20, 20, 155), 'learning_rate': 'adaptive', 'solver': 'lbfgs'}",lbfgs,relu,adaptive,"(20, 20, 155)"
0.851558463106497,"{'activation': 'relu', 'hidden_layer_sizes': (20, 20, 155), 'learning_rate': 'adaptive', 'solver': 'adam'}",adam,relu,adaptive,"(20, 20, 155)"
0.8255777572352982,"{'activation': 'relu', 'hidden_layer_sizes': (20, 20, 200), 'learning_rate': 'constant', 'solver': 'sgd'}",sgd,relu,constant,"(20, 20, 200)"
0.8380987935243784,"{'activation': 'relu', 'hidden_layer_sizes': (20, 20, 200), 'learning_rate': 'constant', 'solver': 'lbfgs'}",lbfgs,relu,constant,"(20, 20, 200)"
0.8642039394154875,"{'activation': 'relu', 'hidden_layer_sizes': (20, 20, 200), 'learning_rate': 'constant', 'solver': 'adam'}",adam,relu,constant,"(20, 20, 200)"
0.5301642608262818,"{'activation': 'relu', 'hidden_layer_sizes': (20, 20, 200), 'learning_rate': 'invscaling', 'solver': 'sgd'}",sgd,relu,invscaling,"(20, 20, 200)"
0.8380987935243784,"{'activation': 'relu', 'hidden_layer_sizes': (20, 20, 200), 'learning_rate': 'invscaling', 'solver': 'lbfgs'}",lbfgs,relu,invscaling,"(20, 20, 200)"
0.8642039394154875,"{'activation': 'relu', 'hidden_layer_sizes': (20, 20, 200), 'learning_rate': 'invscaling', 'solver': 'adam'}",adam,relu,invscaling,"(20, 20, 200)"
0.8255777572352982,"{'activation': 'relu', 'hidden_layer_sizes': (20, 20, 200), 'learning_rate': 'adaptive', 'solver': 'sgd'}",sgd,relu,adaptive,"(20, 20, 200)"
0.8380987935243784,"{'activation': 'relu', 'hidden_layer_sizes': (20, 20, 200), 'learning_rate': 'adaptive', 'solver': 'lbfgs'}",lbfgs,relu,adaptive,"(20, 20, 200)"
0.8642039394154875,"{'activation': 'relu', 'hidden_layer_sizes': (20, 20, 200), 'learning_rate': 'adaptive', 'solver': 'adam'}",adam,relu,adaptive,"(20, 20, 200)"
0.8323449240323308,"{'activation': 'relu', 'hidden_layer_sizes': (20, 65, 20), 'learning_rate': 'constant', 'solver': 'sgd'}",sgd,relu,constant,"(20, 65, 20)"
0.836162269785963,"{'activation': 'relu', 'hidden_layer_sizes': (20, 65, 20), 'learning_rate': 'constant', 'solver': 'lbfgs'}",lbfgs,relu,constant,"(20, 65, 20)"
0.852423617530636,"{'activation': 'relu', 'hidden_layer_sizes': (20, 65, 20), 'learning_rate': 'constant', 'solver': 'adam'}",adam,relu,constant,"(20, 65, 20)"
0.37516651259807066,"{'activation': 'relu', 'hidden_layer_sizes': (20, 65, 20), 'learning_rate': 'invscaling', 'solver': 'sgd'}",sgd,relu,invscaling,"(20, 65, 20)"
0.836162269785963,"{'activation': 'relu', 'hidden_layer_sizes': (20, 65, 20), 'learning_rate': 'invscaling', 'solver': 'lbfgs'}",lbfgs,relu,invscaling,"(20, 65, 20)"
0.852423617530636,"{'activation': 'relu', 'hidden_layer_sizes': (20, 65, 20), 'learning_rate': 'invscaling', 'solver': 'adam'}",adam,relu,invscaling,"(20, 65, 20)"
0.8323449240323308,"{'activation': 'relu', 'hidden_layer_sizes': (20, 65, 20), 'learning_rate': 'adaptive', 'solver': 'sgd'}",sgd,relu,adaptive,"(20, 65, 20)"
0.836162269785963,"{'activation': 'relu', 'hidden_layer_sizes': (20, 65, 20), 'learning_rate': 'adaptive', 'solver': 'lbfgs'}",lbfgs,relu,adaptive,"(20, 65, 20)"
0.852423617530636,"{'activation': 'relu', 'hidden_layer_sizes': (20, 65, 20), 'learning_rate': 'adaptive', 'solver': 'adam'}",adam,relu,adaptive,"(20, 65, 20)"
0.8191045059138637,"{'activation': 'relu', 'hidden_layer_sizes': (20, 65, 65), 'learning_rate': 'constant', 'solver': 'sgd'}",sgd,relu,constant,"(20, 65, 65)"
0.8479888122496385,"{'activation': 'relu', 'hidden_layer_sizes': (20, 65, 65), 'learning_rate': 'constant', 'solver': 'lbfgs'}",lbfgs,relu,constant,"(20, 65, 65)"
0.8648320652302732,"{'activation': 'relu', 'hidden_layer_sizes': (20, 65, 65), 'learning_rate': 'constant', 'solver': 'adam'}",adam,relu,constant,"(20, 65, 65)"
0.2697907037379411,"{'activation': 'relu', 'hidden_layer_sizes': (20, 65, 65), 'learning_rate': 'invscaling', 'solver': 'sgd'}",sgd,relu,invscaling,"(20, 65, 65)"
0.8479888122496385,"{'activation': 'relu', 'hidden_layer_sizes': (20, 65, 65), 'learning_rate': 'invscaling', 'solver': 'lbfgs'}",lbfgs,relu,invscaling,"(20, 65, 65)"
0.8648320652302732,"{'activation': 'relu', 'hidden_layer_sizes': (20, 65, 65), 'learning_rate': 'invscaling', 'solver': 'adam'}",adam,relu,invscaling,"(20, 65, 65)"
0.8191045059138637,"{'activation': 'relu', 'hidden_layer_sizes': (20, 65, 65), 'learning_rate': 'adaptive', 'solver': 'sgd'}",sgd,relu,adaptive,"(20, 65, 65)"
0.8479888122496385,"{'activation': 'relu', 'hidden_layer_sizes': (20, 65, 65), 'learning_rate': 'adaptive', 'solver': 'lbfgs'}",lbfgs,relu,adaptive,"(20, 65, 65)"
0.8648320652302732,"{'activation': 'relu', 'hidden_layer_sizes': (20, 65, 65), 'learning_rate': 'adaptive', 'solver': 'adam'}",adam,relu,adaptive,"(20, 65, 65)"
0.8355329588281306,"{'activation': 'relu', 'hidden_layer_sizes': (20, 65, 110), 'learning_rate': 'constant', 'solver': 'sgd'}",sgd,relu,constant,"(20, 65, 110)"
0.8500675531536658,"{'activation': 'relu', 'hidden_layer_sizes': (20, 65, 110), 'learning_rate': 'constant', 'solver': 'lbfgs'}",lbfgs,relu,constant,"(20, 65, 110)"
0.8577946858185784,"{'activation': 'relu', 'hidden_layer_sizes': (20, 65, 110), 'learning_rate': 'constant', 'solver': 'adam'}",adam,relu,constant,"(20, 65, 110)"
0.3948825523240655,"{'activation': 'relu', 'hidden_layer_sizes': (20, 65, 110), 'learning_rate': 'invscaling', 'solver': 'sgd'}",sgd,relu,invscaling,"(20, 65, 110)"
0.8500675531536658,"{'activation': 'relu', 'hidden_layer_sizes': (20, 65, 110), 'learning_rate': 'invscaling', 'solver': 'lbfgs'}",lbfgs,relu,invscaling,"(20, 65, 110)"
