Metric,Value
Accuracy,0.868421052631579
AUC,0.9382754342431762
F1 Score,0.8484848484848485
MCC,0.7356542705866718
Precision,0.8936170212765957
Recall,0.8076923076923077
Specificity,0.9193548387096774
