Metric,Value
Accuracy,0.868421052631579
AUC,0.9398263027295285
F1 Score,0.845360824742268
MCC,0.7376876841580283
Precision,0.9111111111111111
Recall,0.7884615384615384
Specificity,0.9354838709677419
