mean_test_score,params,solver,activation,learning_rate,hidden_layer_sizes
0.9260210007347887,"{'activation': 'relu', 'hidden_layer_sizes': (20, 20, 155), 'learning_rate': 'constant', 'solver': 'adam'}",adam,relu,constant,"(20, 20, 155)"
0.5353314845101804,"{'activation': 'relu', 'hidden_layer_sizes': (20, 20, 155), 'learning_rate': 'invscaling', 'solver': 'sgd'}",sgd,relu,invscaling,"(20, 20, 155)"
0.9023157695133802,"{'activation': 'relu', 'hidden_layer_sizes': (20, 20, 155), 'learning_rate': 'invscaling', 'solver': 'lbfgs'}",lbfgs,relu,invscaling,"(20, 20, 155)"
0.9260210007347887,"{'activation': 'relu', 'hidden_layer_sizes': (20, 20, 155), 'learning_rate': 'invscaling', 'solver': 'adam'}",adam,relu,invscaling,"(20, 20, 155)"
0.9006660503922823,"{'activation': 'relu', 'hidden_layer_sizes': (20, 20, 155), 'learning_rate': 'adaptive', 'solver': 'sgd'}",sgd,relu,adaptive,"(20, 20, 155)"
0.9023157695133802,"{'activation': 'relu', 'hidden_layer_sizes': (20, 20, 155), 'learning_rate': 'adaptive', 'solver': 'lbfgs'}",lbfgs,relu,adaptive,"(20, 20, 155)"
0.9260210007347887,"{'activation': 'relu', 'hidden_layer_sizes': (20, 20, 155), 'learning_rate': 'adaptive', 'solver': 'adam'}",adam,relu,adaptive,"(20, 20, 155)"
0.8719808480883643,"{'activation': 'relu', 'hidden_layer_sizes': (20, 20, 200), 'learning_rate': 'constant', 'solver': 'sgd'}",sgd,relu,constant,"(20, 20, 200)"
0.8926367062504446,"{'activation': 'relu', 'hidden_layer_sizes': (20, 20, 200), 'learning_rate': 'constant', 'solver': 'lbfgs'}",lbfgs,relu,constant,"(20, 20, 200)"
0.9176562611107162,"{'activation': 'relu', 'hidden_layer_sizes': (20, 20, 200), 'learning_rate': 'constant', 'solver': 'adam'}",adam,relu,constant,"(20, 20, 200)"
0.31497309725283845,"{'activation': 'relu', 'hidden_layer_sizes': (20, 20, 200), 'learning_rate': 'invscaling', 'solver': 'sgd'}",sgd,relu,invscaling,"(20, 20, 200)"
0.8926367062504446,"{'activation': 'relu', 'hidden_layer_sizes': (20, 20, 200), 'learning_rate': 'invscaling', 'solver': 'lbfgs'}",lbfgs,relu,invscaling,"(20, 20, 200)"
0.9176562611107162,"{'activation': 'relu', 'hidden_layer_sizes': (20, 20, 200), 'learning_rate': 'invscaling', 'solver': 'adam'}",adam,relu,invscaling,"(20, 20, 200)"
0.8719808480883643,"{'activation': 'relu', 'hidden_layer_sizes': (20, 20, 200), 'learning_rate': 'adaptive', 'solver': 'sgd'}",sgd,relu,adaptive,"(20, 20, 200)"
0.8926367062504446,"{'activation': 'relu', 'hidden_layer_sizes': (20, 20, 200), 'learning_rate': 'adaptive', 'solver': 'lbfgs'}",lbfgs,relu,adaptive,"(20, 20, 200)"
0.9176562611107162,"{'activation': 'relu', 'hidden_layer_sizes': (20, 20, 200), 'learning_rate': 'adaptive', 'solver': 'adam'}",adam,relu,adaptive,"(20, 20, 200)"
