molecule_chembl_id,canonical_smiles,bioactivity_class,standard_value
CHEMBL435123,CCCOC(=O)Nc1ncnc2c1c(-c1ccccc1)cn2C1OC(C)C(O)C1O,1,4.0
CHEMBL356141,NCC1OC(n2nc(Br)c3c(N)ncnc32)C(O)C1O,1,4.0
CHEMBL364049,OC1COC(n2cc(-c3ccccc3)c3c(Nc4ccc5c(c4)OCCO5)ncnc32)C1O,1,4.0
CHEMBL373218,OC1COC(n2cc(-c3ccccc3)c3c(Nc4ccccc4)ncnc32)C1O,1,4.0
CHEMBL62342,COC1CCCN1c1ccc(-c2cc(-c3cccc(Br)c3)c3c(N)ncnc3n2)cn1,1,4.12
CHEMBL438796,CCONC(=O)CNc1ncnc2c1c(-c1ccccc1)cn2C1OC(C)C(O)C1O,1,5.0
CHEMBL226392,CN(C)c1ccc(C#Cc2ncnc(N)c2-c2ccc(N(C)C)cc2)cc1,1,5.0
CHEMBL381682,OC1COC(n2cc(-c3ccccc3)c3c(Nc4ccc(Br)cc4)ncnc32)C1O,1,5.0
CHEMBL196483,CCOc1ccc(-c2cn(C3OCC(O)C3O)c3ncnc(Nc4ccccc4OC)c23)cc1,1,5.3
CHEMBL381229,CC1OC(n2cc(-c3ccccc3)c3c(NCC(=O)NCC4CC4)ncnc32)C(O)C1O,1,6.0
CHEMBL436096,CC1OC(n2nc(-c3ccccc3)c3c(NCC(=O)NC4CC4)ncnc32)C(O)C1O,1,6.0
CHEMBL225670,CN(C)c1ccc(C#Cc2ncnc(N)c2-c2ccc(Cl)cc2)cn1,1,6.0
CHEMBL387630,CN(C)c1ccc(C#Cc2ncnc(N3CCOCC3)c2-c2ccc(Cl)cc2)cc1,1,6.0
CHEMBL98744,COc1ccc(Nc2ncnc3c2c(-c2ccccc2)cn3C2OC(C)C(O)C2O)cc1,1,6.0
CHEMBL194952,Nc1ncnc2c1c(I)cn2C1OCC(O)C1O,1,6.0
CHEMBL197801,OC1COC(n2cc(-c3ccccc3)c3c(Nc4ccc(F)cc4)ncnc32)C1O,1,6.0
CHEMBL99829,NCC1OC(n2cc(-c3ccccc3)c3c(Nc4ccccc4)ncnc32)C(O)C1O,1,6.3
CHEMBL200219,CCCNC(=O)CNc1ncnc2c1c(-c1ccccc1)cn2C1OC(C)C(O)C1O,1,7.0
CHEMBL198143,N#Cc1ccc(Nc2ncnc3c2c(-c2ccc(Cl)cc2)cn3C2OCC(O)C2O)cc1,1,7.0
CHEMBL102989,CCOC1CN(c2ccc(-c3cc(-c4cccc(Br)c4)c4c(N)ncnc4n3)nn2)CC1OCC,1,7.2
CHEMBL185372,CN(C)c1ccc(C#Cc2ncnc3c2c(-c2cccc(Br)c2)nn3C)cn1,1,7.5
CHEMBL319197,N#CC1CN(c2ccc(-c3cc(-c4cccc(Br)c4)c4c(N)ncnc4n3)cn2)CC1O,1,7.5
CHEMBL104983,Nc1ncnc2nc(-c3ccc(N4CC5CC4CO5)nc3)cc(-c3cccc(Br)c3)c12,1,7.5
CHEMBL226504,CN(C)c1ccc(C#Cc2ncnc(N3CCNCC3)c2-c2ccc(Cl)cc2)cc1,1,8.0
CHEMBL372666,COc1ccc(-c2cc3c(N)ncnc3nc2-c2cccs2)cc1Br,1,8.0
CHEMBL103909,Nc1ncnc2nc(-c3ccc(N4CCC(O)(C5CCOC5=O)CC4)nc3)cc(-c3cccc(Br)c3)c12,1,8.1
CHEMBL449407,[N-]=[N+]=NCC1OC(n2cc(I)c3c(Cl)ncnc32)C(O)C1O,1,9.0
CHEMBL193286,Cc1ccc(-c2cc3c(N)ncnc3nc2-c2cccs2)cc1,1,9.0
CHEMBL386316,CN(C)c1ccc(C#Cc2ncnc(N)c2-c2ccc3c(c2)OCO3)cc1,1,9.0
CHEMBL99025,COc1ccc(Nc2ncnc3c2c(-c2ccco2)cn3C2OC(C)C(O)C2O)cc1,1,9.0
CHEMBL225781,Nc1ncnc(C#Cc2ccc(N3CCCCC3)nc2)c1-c1ccc(Cl)cc1,1,9.0
CHEMBL177664,c1ccc(CCNc2ncnc3oc(-c4ccccc4)nc23)cc1,1,10.0
CHEMBL435552,c1ccc(CN2CC3CN(c4ncnc5oc(-c6ccccc6)nc45)CC3C2)cc1,1,10.0
CHEMBL177368,c1ccc(CN2CCN(c3ncnc4oc(-c5ccccc5)nc34)CC2)cc1,1,10.0
CHEMBL177663,c1ccc(CNc2ncnc3oc(-c4ccccc4)nc23)cc1,1,10.0
CHEMBL175626,CCCCNc1ncnc2oc(-c3ccccc3)nc12,1,10.0
CHEMBL389409,CN(C)c1ccc(C#Cc2ncnc(N)c2-c2cccc(Cl)c2)cc1,1,10.0
CHEMBL366539,CN(C)c1ccc(-c2nc3c(N4CC5CCN(Cc6ccccc6)C5C4)ncnc3o2)cn1,1,10.0
CHEMBL177317,COCCNc1ncnc2oc(-c3ccccc3)nc12,1,10.0
CHEMBL177680,Fc1ccc(-c2ccc(-c3nc4c(N5CC6CCN(Cc7ccccc7)C6C5)ncnc4o3)cc2)cc1,1,10.0
CHEMBL387486,Nc1ccc(C#Cc2ncnc(N)c2-c2ccc(Cl)cc2)cc1,1,10.0
CHEMBL380998,Nc1cccc(-c2cn(C3OCC(O)C3O)c3ncnc(Nc4ccc(F)cc4)c23)c1,1,10.0
CHEMBL116872,Nc1ncnc2nc(-c3ccc(N4CCOCC4)nc3)cc(NCc3c[nH]c4ccccc34)c12,1,10.0
CHEMBL200457,O=C(CNc1ncnc2c1c(-c1ccccc1)nn2C1OC(CO)C(O)C1O)NC1CC1,1,10.0
CHEMBL368003,O=C(Nc1ccc(-c2nc3c(N4CC5CCN(Cc6ccccc6)C5C4)ncnc3o2)cc1)c1ccc(C(F)(F)F)cc1,1,10.0
CHEMBL177314,O=C(Nc1cccc(-c2nc3c(N4CC5CCN(Cc6ccccc6)C5C4)ncnc3o2)c1)c1ccc(C(F)(F)F)cc1,1,10.0
CHEMBL106386,CCOC1CCN(c2ccc(-c3cc(-c4cccc(Br)c4)c4c(N)ncnc4n3)nn2)CC1,1,10.4
CHEMBL225696,Cc1ccc(-c2c(N)ncnc2C#Cc2ccc(N(C)C)cc2)cc1,1,13.0
CHEMBL225782,Nc1ncnc(C#Cc2ccc(N3CCOCC3)nc2)c1-c1cccs1,1,13.0
CHEMBL318645,CC1OC(n2cc(-c3ccccc3)c3c(Nc4ccc(C#N)cc4)ncnc32)C(O)C1O,1,14.0
CHEMBL427272,CNc1ncnc(C#Cc2ccc(N(C)C)cc2)c1-c1ccc(Cl)cc1,1,14.0
CHEMBL225887,Nc1ccc(C#Cc2ncnc(N)c2-c2ccc(Cl)cc2)cn1,1,14.0
CHEMBL358584,COCC1OC(n2cc(-c3ccccc3)c3c(Nc4ccccc4)ncnc32)C(O)C1O,1,15.0
CHEMBL197072,CC1OC(n2cc(-c3ccccc3)c3c(NCC(=O)NCCCO)ncnc32)C(O)C1O,1,16.0
CHEMBL375294,CN(C)c1ccc(C#Cc2ncnc(N)c2-c2cccc([N+](=O)[O-])c2)cc1,1,16.0
CHEMBL144936,NCC1OC(n2cc(I)c3c(N)ncnc32)C(O)C1O,1,16.0
CHEMBL388192,COc1ccc(-c2c(N)ncnc2C#Cc2ccc(N(C)C)cc2)cc1,1,18.0
CHEMBL102524,CON=C1CCN(c2ccc(-c3cc(-c4cccc(Br)c4)c4c(N)ncnc4n3)nn2)CC1,1,18.8
CHEMBL364496,OCC1OC(n2c(Nc3ccccc3)nc3c(N4CCc5ccccc54)ncnc32)C(O)C1O,1,19.0
CHEMBL191161,CN(C)c1ccc(-c2nc3ncnc(N)c3cc2-c2ccc(Br)cc2)cc1,1,20.0
CHEMBL200196,O=C(CNc1ncnc2c1c(-c1ccccc1)cn2C1OCC(O)C1O)NC1CC1,1,20.0
CHEMBL183535,Brc1cccc(-c2[nH]nc3ncnc(C#Cc4ccc(N5CCOCC5)nc4)c23)c1,1,22.0
CHEMBL225705,CC(C)c1ccc(-c2c(N)ncnc2C#Cc2ccc(N(C)C)cc2)cc1,1,22.0
CHEMBL120650,Nc1ncnc(C#Cc2ccc(N3CCOCC3)nc2)c1Cc1cccc(Br)c1,1,22.0
CHEMBL356339,Nc1ncnc2nc(-c3ccc(N4CCOCC4)nc3)cc(NCCc3c[nH]c4ccccc34)c12,1,23.0
CHEMBL328824,OCC1OC(n2cc(I)c3c(Cl)ncnc32)C(O)C1O,1,24.0
CHEMBL99536,CC1OC(n2cc(-c3ccccc3)c3c(Nc4cccnc4)ncnc32)C(O)C1O,1,25.0
CHEMBL425752,CC(C)NC(=O)CNc1ncnc2c1c(-c1ccccc1)cn2C1OC(C)C(O)C1O,1,25.0
CHEMBL390827,Cc1ccc(C#Cc2ncnc(N)c2-c2ccc(Cl)cc2)cc1,1,25.0
CHEMBL150478,COc1ccc(-c2c(-c3cccs3)nc3ncnc(N)c3c2-c2cc(Br)cs2)cc1OC,1,25.0
CHEMBL100262,CC1OC(n2cc(-c3ccc(F)cc3)c3c(Nc4ccc(F)cc4)ncnc32)C(O)C1O,1,26.0
CHEMBL376844,CN(C)c1cc(C#Cc2ncnc(N)c2-c2ccc3c(c2)OCO3)cnc1N1CCOCC1,1,26.0
CHEMBL99203,Nc1ncnc2c1c(I)cn2C1OC(CO)C(O)C1O,1,26.0
CHEMBL198972,CNC(=O)Nc1ncnc2c1c(-c1ccccc1)cn2C1OC(C)C(O)C1O,1,27.0
CHEMBL65665,Nc1ncnc2nc(-c3ccc(N4CCC5(CC4)OCCO5)nc3)cc(-c3cccc(Br)c3)c12,1,28.3
CHEMBL316668,CC1OC(n2cc(-c3ccccc3)c3c(NCc4ccccc4)ncnc32)C(O)C1O,1,30.0
CHEMBL120976,CN(Cc1ccccc1)c1c(N)ncnc1C#Cc1ccc(N2CCOCC2)nc1,1,30.0
CHEMBL174700,O=C(Nc1ccc(-c2nc3c(N4CC5CCN(Cc6ccccc6)C5C4)ncnc3o2)cc1)C1CC1,1,30.0
CHEMBL322448,CC(=NOC1CCOCC1)C1(O)CCN(c2ccc(-c3cc(-c4cccc(Br)c4)c4c(N)ncnc4n3)cn2)CC1,1,31.7
CHEMBL68748,CN(C)c1ccc(-c2cc(-c3cccc(Br)c3)c3c(N)ncnc3n2)cn1,1,32.0
CHEMBL192887,COc1ccc(-c2cc3c(N)ncnc3nc2-c2ccc(N(C)C)cc2)cc1Br,1,33.0
CHEMBL62974,Nc1ncnc2nc(-c3ccc(N4CCC(O)CC4)nc3)cc(-c3cccc(Br)c3)c12,1,33.0
CHEMBL422122,NCC1OC(n2cc(-c3ccccc3)c3c(Nc4ccccc4)ncnc32)C(O)C1O,1,36.0
CHEMBL189575,COc1ccc(-c2cc3c(N)ncnc3nc2-c2cccs2)cc1OC,1,38.0
CHEMBL371950,COCCNC(=O)CNc1ncnc2c1c(-c1ccccc1)cn2C1OC(C)C(O)C1O,1,38.0
CHEMBL225729,CC(=O)N1CCN(c2ccc(C#Cc3ncnc(N)c3-c3ccc(Cl)cc3)cn2)CC1,1,39.0
CHEMBL98909,CC1OC(n2cc(Br)c3c(N)ncnc32)C(O)C1O,1,40.0
CHEMBL381407,CCNC(=O)CNc1ncnc2c1c(-c1ccccc1)cn2C1OC(C)C(O)C1O,1,40.0
CHEMBL368401,COCC(=O)Nc1ccc(-c2nc3c(N4CC5CCN(Cc6ccccc6)C5C4)ncnc3o2)cc1,1,40.0
CHEMBL175074,COCC(=O)Nc1cccc(-c2nc3c(N4CC5CCN(Cc6ccccc6)C5C4)ncnc3o2)c1,1,40.0
CHEMBL420879,Nc1ncnc(C#Cc2ccc(N3CCOCC3)nc2)c1Cc1ccccc1,1,40.0
CHEMBL4441282,Nc1ncnc2c1c(I)nn2C1OC(CO)C(O)C1O,1,40.0
CHEMBL356758,NCC1OC(n2nc(-c3ccccc3)c3c(Nc4ccccc4)ncnc32)C(O)C1O,1,42.0
CHEMBL62524,CN(Cc1cccnc1)c1ccc(-c2cc(-c3cccc(Br)c3)c3c(N)ncnc3n2)cn1,1,42.3
CHEMBL62576,Nc1ncnc2nc(-c3ccc(N4CCSCC4)nc3)cc(-c3cccc(Br)c3)c12,1,42.5
CHEMBL225773,Nc1ncnc(C#Cc2cccs2)c1-c1ccc(Cl)cc1,1,43.0
CHEMBL442002,CC1CC(O)C(n2cc(-c3ccccc3)c3c(Nc4ccccc4)ncnc32)O1,1,44.0
CHEMBL200620,CC1OC(n2cc(-c3ccccc3)c3c(NCC4CC4)ncnc32)C(O)C1O,1,45.0
CHEMBL191679,COc1ccc(-c2cc3c(N)ncnc3nc2-c2ccc(N(C)C)cc2)cc1OC,1,45.0
CHEMBL95481,CSc1ncnc2c1c(I)cn2C1OC(C)C(O)C1O,1,45.0
CHEMBL225834,Nc1ncnc(C#Cc2ccc(N3CCOCC3)nn2)c1-c1ccc(Cl)cc1,1,45.0
CHEMBL302404,Nc1ncnc2nc(-c3ccc(N4CCCC4)nc3)cc(-c3cccc(Br)c3)c12,1,45.0
CHEMBL189161,Cc1ccc(-c2cc3c(N)ncnc3nc2-c2ccsc2)cc1,1,47.0
CHEMBL99062,Cc1nc(Nc2ccccc2)c2c(-c3ccccc3)cn(C3OC(C)C(O)C3O)c2n1,1,47.0
CHEMBL348712,Nc1ncnc2nc(-c3cccs3)c(-c3ccccc3)c(-c3ccccc3)c12,1,49.0
CHEMBL98910,CC1OC(n2cc(Br)c3c(Cl)ncnc32)C(O)C1O,1,50.0
CHEMBL225877,CC(C)c1ccc(C#Cc2ncnc(N)c2-c2ccc(Cl)cc2)cc1,1,50.0
CHEMBL362464,Nc1ccc(-c2nc3c(N4CC5CCN(Cc6ccccc6)C5C4)ncnc3o2)cc1,1,50.0
CHEMBL66089,Nc1ncnc2nc(-c3ccc(N4CCOCC4)nc3)cc(-c3cccc(Br)c3)c12,1,50.0
CHEMBL189105,CC1OC(n2cc(-c3ccccc3)c3c(N4CCc5ccccc54)ncnc32)C(O)C1O,1,51.0
CHEMBL103812,Nc1ncnc2nc(-c3ccc(N4CCC(=NOC5CCOCC5)CC4)nn3)cc(-c3cccc(Br)c3)c12,1,52.0
CHEMBL151448,CN(C)c1ccc(-c2nc3ncnc(N)c3c(-c3ccccc3)c2-c2ccccc2)cn1,1,53.0
CHEMBL362987,C=Cc1nc2c(N3CCc4ccccc43)ncnc2n1C1OC(CO)C(O)C1O,1,60.0
CHEMBL97494,CCC1OC(n2cc(I)c3c(N)ncnc32)C(O)C1O,1,60.0
CHEMBL225707,Nc1ncnc(C#Cc2ccccc2)c1-c1ccc(Cl)cc1,1,60.0
CHEMBL199371,O=C(CNc1ncnc2c1c(-c1ccccc1)cn2COCCO)Nc1ccc(Cl)cc1,1,60.0
CHEMBL174992,O=C(Nc1cccc(-c2nc3c(N4CC5CCN(Cc6ccccc6)C5C4)ncnc3o2)c1)C1CC1,1,60.0
CHEMBL97437,[N-]=[N+]=NCC1OC(n2cc(Br)c3c(N)ncnc32)C(O)C1O,1,63.0
CHEMBL216697,CN(C)c1ccc(-c2c(N)ncnc2C#Cc2ccc(N3CCOCC3)nc2)cc1,1,68.0
CHEMBL356952,Nc1ncnc2c1c(I)cn2C1OC(CO)C(O)C1O,1,68.0
CHEMBL175440,Clc1ccc(-c2nc3c(N4CC5CCN(Cc6ccccc6)C5C4)ncnc3o2)cn1,1,70.0
CHEMBL189576,CN(C)c1ccc(-c2nc3ncnc(N)c3cc2-c2cccc(Br)c2)cc1,1,70.0
CHEMBL318056,CSc1cn(C2OC(C)C(O)C2O)c2ncnc(Cl)c12,1,70.0
CHEMBL361797,O=C(Cc1ccccc1)Nc1ccc(-c2nc3c(N4CC5CCN(Cc6ccccc6)C5C4)ncnc3o2)cc1,1,70.0
CHEMBL175041,O=C(Nc1ccc(-c2nc3c(N4CC5CCN(Cc6ccccc6)C5C4)ncnc3o2)cc1)c1ccccc1,1,70.0
CHEMBL65664,Nc1ncnc2nc(-c3ccc(N4CCC(=NOC5CCOCC5)CC4)nc3)cc(-c3cccc(Br)c3)c12,1,70.9
CHEMBL182969,c1ccc(CCCNc2ncnc3nc(-c4ccc(N5CCOCC5)nc4)cnc23)cc1,1,72.0
CHEMBL183671,CN(C)c1ccc(C#Cc2ncnc3[nH]nc(-c4cccc(Br)c4)c23)cn1,1,75.0
CHEMBL387629,CN(C)c1ccc(C#Cc2ncnc(NCCc3c[nH]cn3)c2-c2ccc(Cl)cc2)cc1,1,80.0
CHEMBL225672,COCCN(C)c1ccc(C#Cc2ncnc(N)c2-c2ccc(Cl)cc2)cn1,1,80.0
CHEMBL103729,COCCOC1CCN(c2ccc(-c3cc(-c4cccc(Br)c4)c4c(N)ncnc4n3)nn2)CC1,1,81.9
CHEMBL182321,c1ccc(CCCCNc2ncnc3nc(-c4ccc(N5CCOCC5)nc4)cnc23)cc1,1,82.0
CHEMBL181551,Cn1nc(-c2cccc(Br)c2)c2c(C#Cc3ccc(N4CCOCC4)nc3)ncnc21,1,82.0
CHEMBL4578381,CC1C(O)C(O)C2(n3cc(-c4ccccc4)c4c(Nc5ccccc5)ncnc43)CC12,1,88.0
CHEMBL225679,CC(C)NC(=O)Nc1cc(C#Cc2ncnc(N)c2-c2ccc3c(c2)OCO3)cnc1N1CCOCC1,1,88.0
CHEMBL317711,Nc1ncnc2nc(-c3ccc(N4CCC(CCOC5CCOCC5)CC4)nn3)cc(-c3cccc(Br)c3)c12,1,89.5
CHEMBL425500,c1ccc(CN2CCC3CN(c4ncnc5oc(-c6ccc(-c7cccs7)cc6)nc45)CC32)cc1,1,90.0
CHEMBL225706,CN(C)c1ccc(C#Cc2ncnc(N)c2-c2cccc(N)c2)cc1,1,90.0
