canonical_smiles,bioactivity_class
COCCN(C)c1ccc(C#Cc2ncnc(N)c2-c2ccc(Cl)cc2)cn1,1
COc1ccc(-c2cc3c(N)ncnc3nc2-c2cccs2)cc1OC,1
CC(=O)N1CCN(c2ccc(C#Cc3ncnc(N)c3-c3ccc(Cl)cc3)cn2)CC1,1
Nc1ncnc2nc(-c3ccc(N4CCCC4CO)nn3)cc(-c3cccc(Br)c3)c12,1
O=C1C(c2ccc3ccccc3c2)Oc2cc3c(cc2N1Cc1ccccc1)OCO3,0
COc1ccc(-c2c(-c3ccc(N(C)C)cc3)nc3ncnc(N)c3c2-c2cccc(Br)c2)cc1OC,0
CCC1(c2ccc(CSc3cc(Cl)ccc3Cl)cc2)Oc2ccccc2-n2cccc2C1=O,0
[N-]=[N+]=NCC1C(O)C(O)C2(n3cc(I)c4c(N)ncnc43)CC12,0
CC(C)c1ccc(-c2c(N)ncnc2C#Cc2ccc(N(C)C)cc2)cc1,1
c1ccc(CCCNc2ncnc3oc(-c4ccccc4)nc23)cc1,1
Nc1ncnc2c1c(I)cn2C1OC2(CC2)C(O)C1O,0
OCC1OC(n2cnc3c(N4CCc5ccccc54)ncnc32)C(O)C1O,0
Nc1ncnc2c1c(-c1ccc[nH]1)cn2C1OC(CO)C(O)C1O,0
c1ccc(CN2CCC3CN(c4ncnc5oc(-c6ccccc6)nc45)CC32)cc1,1
CC(Nc1ncnc2c1c(-c1ccccc1)cn2C1OC(C)C(O)C1O)C(=O)NC1CC1,0
CN(CCCNc1ncnc2oc(-c3ccccc3)nc12)c1ccccc1,1
N#CC1CN(c2ccc(-c3cc(-c4cccc(Br)c4)c4c(N)ncnc4n3)cn2)CC1O,1
CCC1(c2ccc(CSc3ccc(F)cc3)cc2)Oc2ccccc2-n2cccc2C1=O,0
OCC1OC(n2ccc3c(-c4ccoc4)ncnc32)C(O)C1O,0
Nc1ncnc2nc(-c3ccccc3)cnc12,0
CC1OC(n2cc(-c3ccccc3)c3c(Nc4ccccc4)ncnc32)C(O)C1O,1
Nc1ncnc2c1c(Br)cn2C1OC(CO)C(O)C1O,0
c1ccc(CN2CCC3CN(c4ncnc5oc(-c6ccccc6)nc45)CC32)cc1,1
COc1ccc(-c2cc3c(N)ncnc3nc2-c2ccc(N(C)C)cc2)cc1,1
CC1C(O)C(O)C2(n3cc(-c4ccccc4)c4c(Nc5ccc(F)cc5)ncnc43)CC12,1
O=C(CNc1ncnc2c1c(-c1ccccc1)cn2C1OCC(O)C1O)Nc1ccccc1,1
CC(C)NC(=O)Nc1cc(C#Cc2ncnc(N)c2-c2ccc3c(c2)OCO3)cnc1N1CCOCC1,1
c1ccc(CN2CCC3CN(c4ncnc5oc(-c6cccnc6)nc45)CC32)cc1,1
Nc1ncnc2nc(-c3ccc(N4CCOCC4)nc3)c(-c3ccccc3)c(-c3cccc(Br)c3)c12,1
CC1OC(n2cc(Br)c3c(N)ncnc32)C(O)C1O,1
Brc1cccc(-c2nn(Cc3ccccc3)c3ncnc(C#Cc4ccc(N5CCOCC5)nc4)c23)c1,0
Nc1ncnc2nc(-c3ccc(N4CCSCC4)nc3)cc(-c3cccc(Br)c3)c12,1
c1ccc(CCNc2ncnc3nc(-c4ccc(N5CCOCC5)nc4)cnc23)cc1,1
CCC1OC(n2cc(I)c3c(N)ncnc32)C(O)C1O,0
CC1OC(n2cc(-c3ccccc3)c3c(NCC(=O)NCCCN(C)C)ncnc32)C(O)C1O,1
Nc1ncnc2c1c1occc1n2C1OC(CO)C(O)C1O,0
CN(C)c1ccc(-c2cc3c(N)ncnc3nc2-c2ccncc2)cc1,0
Nc1ncnc(C#Cc2cncc(N3CCOCC3)c2)c1-c1ccc(Cl)cc1,1
O=S(=O)(c1ccccc1)N1CC(c2cccc3ccccc23)Oc2ccccc21,0
CCNC(=O)CNc1ncnc2c1c(-c1ccccc1)cn2C1OC(C)C(O)C1O,1
