mean_test_score,params,solver,activation,learning_rate,hidden_layer_sizes
0.9095581786721658,"{'activation': 'relu', 'hidden_layer_sizes': (20, 20, 155), 'learning_rate': 'constant', 'solver': 'adam'}",adam,relu,constant,"(20, 20, 155)"
0.6179774348763896,"{'activation': 'relu', 'hidden_layer_sizes': (20, 20, 155), 'learning_rate': 'invscaling', 'solver': 'sgd'}",sgd,relu,invscaling,"(20, 20, 155)"
0.8966602668942141,"{'activation': 'relu', 'hidden_layer_sizes': (20, 20, 155), 'learning_rate': 'invscaling', 'solver': 'lbfgs'}",lbfgs,relu,invscaling,"(20, 20, 155)"
0.9095581786721658,"{'activation': 'relu', 'hidden_layer_sizes': (20, 20, 155), 'learning_rate': 'invscaling', 'solver': 'adam'}",adam,relu,invscaling,"(20, 20, 155)"
0.858834056270592,"{'activation': 'relu', 'hidden_layer_sizes': (20, 20, 155), 'learning_rate': 'adaptive', 'solver': 'sgd'}",sgd,relu,adaptive,"(20, 20, 155)"
0.8966602668942141,"{'activation': 'relu', 'hidden_layer_sizes': (20, 20, 155), 'learning_rate': 'adaptive', 'solver': 'lbfgs'}",lbfgs,relu,adaptive,"(20, 20, 155)"
0.9095581786721658,"{'activation': 'relu', 'hidden_layer_sizes': (20, 20, 155), 'learning_rate': 'adaptive', 'solver': 'adam'}",adam,relu,adaptive,"(20, 20, 155)"
0.8319526416838512,"{'activation': 'relu', 'hidden_layer_sizes': (20, 20, 200), 'learning_rate': 'constant', 'solver': 'sgd'}",sgd,relu,constant,"(20, 20, 200)"
0.9068548673824932,"{'activation': 'relu', 'hidden_layer_sizes': (20, 20, 200), 'learning_rate': 'constant', 'solver': 'lbfgs'}",lbfgs,relu,constant,"(20, 20, 200)"
0.9138649885041124,"{'activation': 'relu', 'hidden_layer_sizes': (20, 20, 200), 'learning_rate': 'constant', 'solver': 'adam'}",adam,relu,constant,"(20, 20, 200)"
0.45918722889852803,"{'activation': 'relu', 'hidden_layer_sizes': (20, 20, 200), 'learning_rate': 'invscaling', 'solver': 'sgd'}",sgd,relu,invscaling,"(20, 20, 200)"
0.9068548673824932,"{'activation': 'relu', 'hidden_layer_sizes': (20, 20, 200), 'learning_rate': 'invscaling', 'solver': 'lbfgs'}",lbfgs,relu,invscaling,"(20, 20, 200)"
0.9138649885041124,"{'activation': 'relu', 'hidden_layer_sizes': (20, 20, 200), 'learning_rate': 'invscaling', 'solver': 'adam'}",adam,relu,invscaling,"(20, 20, 200)"
0.8319526416838512,"{'activation': 'relu', 'hidden_layer_sizes': (20, 20, 200), 'learning_rate': 'adaptive', 'solver': 'sgd'}",sgd,relu,adaptive,"(20, 20, 200)"
0.9068548673824932,"{'activation': 'relu', 'hidden_layer_sizes': (20, 20, 200), 'learning_rate': 'adaptive', 'solver': 'lbfgs'}",lbfgs,relu,adaptive,"(20, 20, 200)"
0.9138649885041124,"{'activation': 'relu', 'hidden_layer_sizes': (20, 20, 200), 'learning_rate': 'adaptive', 'solver': 'adam'}",adam,relu,adaptive,"(20, 20, 200)"
0.8775379838346489,"{'activation': 'relu', 'hidden_layer_sizes': (20, 65, 20), 'learning_rate': 'constant', 'solver': 'sgd'}",sgd,relu,constant,"(20, 65, 20)"
0.8913283083268151,"{'activation': 'relu', 'hidden_layer_sizes': (20, 65, 20), 'learning_rate': 'constant', 'solver': 'lbfgs'}",lbfgs,relu,constant,"(20, 65, 20)"
0.9122366019578564,"{'activation': 'relu', 'hidden_layer_sizes': (20, 65, 20), 'learning_rate': 'constant', 'solver': 'adam'}",adam,relu,constant,"(20, 65, 20)"
0.5751321434497144,"{'activation': 'relu', 'hidden_layer_sizes': (20, 65, 20), 'learning_rate': 'invscaling', 'solver': 'sgd'}",sgd,relu,invscaling,"(20, 65, 20)"
0.8913283083268151,"{'activation': 'relu', 'hidden_layer_sizes': (20, 65, 20), 'learning_rate': 'invscaling', 'solver': 'lbfgs'}",lbfgs,relu,invscaling,"(20, 65, 20)"
0.9122366019578564,"{'activation': 'relu', 'hidden_layer_sizes': (20, 65, 20), 'learning_rate': 'invscaling', 'solver': 'adam'}",adam,relu,invscaling,"(20, 65, 20)"
