mean_test_score,params,n_neighbors,algorithm,weights,p
0.8905046339093129,"{'algorithm': 'auto', 'n_neighbors': 14, 'p': 1, 'weights': 'distance'}",14,auto,distance,1
0.9070717485600511,"{'algorithm': 'auto', 'n_neighbors': 14, 'p': 2, 'weights': 'uniform'}",14,auto,uniform,2
0.8884614472966887,"{'algorithm': 'auto', 'n_neighbors': 14, 'p': 2, 'weights': 'distance'}",14,auto,distance,2
0.9075268434900092,"{'algorithm': 'auto', 'n_neighbors': 15, 'p': 1, 'weights': 'uniform'}",15,auto,uniform,1
0.8915617815070279,"{'algorithm': 'auto', 'n_neighbors': 15, 'p': 1, 'weights': 'distance'}",15,auto,distance,1
0.9075268434900092,"{'algorithm': 'auto', 'n_neighbors': 15, 'p': 2, 'weights': 'uniform'}",15,auto,uniform,2
0.8899997629713907,"{'algorithm': 'auto', 'n_neighbors': 15, 'p': 2, 'weights': 'distance'}",15,auto,distance,2
0.8622211950982483,"{'algorithm': 'ball_tree', 'n_neighbors': 2, 'p': 1, 'weights': 'uniform'}",2,ball_tree,uniform,1
0.8543862144160801,"{'algorithm': 'ball_tree', 'n_neighbors': 2, 'p': 1, 'weights': 'distance'}",2,ball_tree,distance,1
0.8622211950982483,"{'algorithm': 'ball_tree', 'n_neighbors': 2, 'p': 2, 'weights': 'uniform'}",2,ball_tree,uniform,2
0.8543862144160801,"{'algorithm': 'ball_tree', 'n_neighbors': 2, 'p': 2, 'weights': 'distance'}",2,ball_tree,distance,2
0.884215079760127,"{'algorithm': 'ball_tree', 'n_neighbors': 3, 'p': 1, 'weights': 'uniform'}",3,ball_tree,uniform,1
0.8744020953329068,"{'algorithm': 'ball_tree', 'n_neighbors': 3, 'p': 1, 'weights': 'distance'}",3,ball_tree,distance,1
0.884215079760127,"{'algorithm': 'ball_tree', 'n_neighbors': 3, 'p': 2, 'weights': 'uniform'}",3,ball_tree,uniform,2
0.8743025433169784,"{'algorithm': 'ball_tree', 'n_neighbors': 3, 'p': 2, 'weights': 'distance'}",3,ball_tree,distance,2
